date	cases	recoveries	deaths
2020-01-23	2	0	0
2020-01-24	2	0	0
2020-01-25	2	0	0
2020-01-26	2	0	0
2020-01-27	2	0	0
2020-01-28	2	1	0
2020-01-29	2	1	0
2020-01-30	2	1	0
2020-01-31	5	1	0
2020-02-01	6	1	0
2020-02-02	7	1	0
2020-02-03	8	2	0
2020-02-04	10	3	0
2020-02-05	10	3	0
2020-02-06	12	3	0
2020-02-07	13	3	0
2020-02-08	13	3	0
2020-02-09	14	3	0
2020-02-10	14	6	0
2020-02-11	15	6	0
2020-02-12	15	7	0
2020-02-13	16	7	0
2020-02-14	16	7	0
2020-02-15	16	7	0
2020-02-16	16	7	0
2020-02-17	16	7	0
2020-02-18	16	11	0
2020-02-19	16	14	0
2020-02-20	16	15	0
2020-02-21	16	15	0
2020-02-22	16	15	0
2020-02-23	16	15	0
2020-02-24	16	15	0
2020-02-25	16	15	0
2020-02-26	16	16	0
2020-02-27	16	16	0
2020-02-28	16	16	0
2020-02-29	16	16	0
2020-03-01	16	16	0
2020-03-02	16	16	0
2020-03-03	16	16	0
2020-03-04	16	16	0
2020-03-05	16	16	0
2020-03-06	17	16	0
2020-03-07	20	16	0
2020-03-08	30	16	0
2020-03-09	31	16	0
2020-03-10	34	16	0
2020-03-11	38	16	0
2020-03-12	44	16	0
2020-03-13	47	16	0
2020-03-14	53	16	0
2020-03-15	57	16	0
2020-03-16	61	16	0
2020-03-17	66	16	0
2020-03-18	76	16	0
2020-03-19	85	16	0
2020-03-20	91	17	0
2020-03-21	94	17	0
2020-03-22	113	17	0
2020-03-23	123	17	0
2020-03-24	134	17	0
2020-03-25	141	17	0
2020-03-26	153	17	0
2020-03-27	163	20	0
2020-03-28	174	21	0
2020-03-29	188	25	0
2020-03-30	203	55	0
2020-03-31	207	58	0
2020-04-01	218	63	0
2020-04-02	227	75	0
2020-04-03	237	85	0
2020-04-04	240	90	0
2020-04-05	241	91	0
2020-04-06	245	95	0
2020-04-07	249	122	0
2020-04-08	251	126	0
2020-04-09	255	128	0
2020-04-10	257	144	0
2020-04-11	258	144	0
2020-04-12	260	144	0
2020-04-13	265	145	0
2020-04-14	266	169	0
2020-04-15	267	171	0
2020-04-16	268	177	0
2020-04-17	268	198	0
2020-04-18	268	201	0
2020-04-19	268	202	0
2020-04-20	268	214	0
2020-04-21	268	216	0
2020-04-22	268	223	0
2020-04-23	268	224	0
2020-04-24	270	225	0
2020-04-25	270	225	0
2020-04-26	270	225	0
2020-04-27	270	225	0
2020-04-28	270	225	0
2020-04-29	270	225	0
2020-04-30	270	225	0
2020-05-01	270	225	0
2020-05-02	270	225	0
2020-05-03	271	225	0
2020-05-04	271	227	0
2020-05-05	271	238	0
2020-05-06	271	238	0
2020-05-07	288	239	0
2020-05-08	288	246	0
2020-05-09	288	246	0
2020-05-10	288	246	0
2020-05-11	288	249	0
2020-05-12	288	252	0
2020-05-13	288	252	0
2020-05-14	288	260	0
2020-05-15	313	260	0
2020-05-16	318	260	0
2020-05-17	320	260	0
2020-05-18	324	263	0
2020-05-19	324	264	0
2020-05-20	324	264	0
2020-05-21	324	266	0
2020-05-22	324	267	0
2020-05-23	324	267	0
2020-05-24	325	267	0
2020-05-25	326	272	0
2020-05-26	327	272	0
2020-05-27	327	278	0
2020-05-28	327	278	0
2020-05-29	327	279	0
2020-05-30	328	279	0
2020-05-31	328	279	0
2020-06-01	328	293	0
2020-06-02	328	298	0
2020-06-03	328	302	0
2020-06-04	328	302	0
2020-06-05	328	307	0
2020-06-06	329	307	0
2020-06-07	329	307	0
2020-06-08	332	316	0
2020-06-09	332	317	0
2020-06-10	332	320	0
2020-06-11	332	321	0
2020-06-12	333	323	0
2020-06-13	334	323	0
2020-06-13	334	323	0
2020-06-14	334	323	0
2020-06-15	334	323	0
2020-06-16	334	325	0
2020-06-17	335	325	0
2020-06-18	342	325	0
2020-06-19	349	326	0
2020-06-20	349	327	0
2020-06-21	349	327	0
2020-06-22	349	328	0
2020-06-23	349	329	0
2020-06-24	352	329	0
2020-06-25	352	329	0
2020-06-26	353	330	0
2020-06-27	355	330	0
2020-06-28	355	330	0
2020-06-29	355	335	0
