date	cases	recoveries	deaths
2019-12-31	27	0	0
2020-01-01	27	0	0
2020-01-02	27	0	0
2020-01-03	44	0	0
2020-01-04	44	0	0
2020-01-05	59	0	0
2020-01-06	59	0	0
2020-01-07	59	0	0
2020-01-08	59	0	0
2020-01-09	59	0	0
2020-01-10	41	2	1
2020-01-11	41	7	1
2020-01-12	41	7	1
2020-01-13	41	7	1
2020-01-14	41	7	1
2020-01-15	41	7	1
2020-01-16	45	15	2
2020-01-17	62	19	2
2020-01-18	121	24	3
2020-01-19	198	25	4
2020-01-20	291	25	6
2020-01-21	440	25	9
2020-01-22	571	25	17
2020-01-23	830	34	25
2020-01-24	1287	38	41
2020-01-25	1975	49	56
2020-01-26	2744	51	80
2020-01-27	4515	60	106
2020-01-28	5974	103	132
2020-01-29	7711	124	170
2020-01-30	9692	171	213
2020-01-31	11791	243	259
2020-02-01	14380	328	304
2020-02-02	17205	475	361
2020-02-03	20438	632	425
2020-02-04	24324	892	490
2020-02-05	28018	1153	563
2020-02-06	31161	1540	637
2020-02-07	34546	2050	722
2020-02-08	37198	2649	811
2020-02-09	40171	3281	908
2020-02-10	48315	3996	1016
2020-02-11	55220	4740	1113
2020-02-12	58761	5642	1259
2020-02-13	63851	6723	1380
2020-02-14	66492	8096	1523
2020-02-15	68500	9419	1665
2020-02-16	70548	10844	1770
2020-02-17	72436	12545	1868
2020-02-18	74185	14376	2004
2020-02-19	75002	16155	2118
2020-02-20	75891	18264	2236
2020-02-21	76288	20659	2345
2020-02-22	76936	22401	2443
2020-02-23	77150	24734	2592
2020-02-24	77658	27323	2663
2020-02-25	78064	29745	2715
2020-02-26	78497	32945	2744
2020-02-27	78824	36117	2788
2020-02-28	79251	39002	2835
2020-02-29	79824	41625	2870
2020-03-01	80026	44462	2912
2020-03-02	80151	47204	2943
2020-03-03	80270	49856	2981
2020-03-04	80409	52045	3012
2020-03-05	80552	53726	3042
2020-03-06	80651	55404	3070
2020-03-07	80695	57065	3097
2020-03-08	80735	58600	3119
2020-03-09	80754	59897	3136
2020-03-10	80778	61475	3158
2020-03-11	80793	62793	3169
2020-03-12	80813	64111	3176
2020-03-13	80824	65541	3189
2020-03-14	80844	66911	3199
2020-03-15	80860	67749	3213
2020-03-16	80881	68679	3226
