date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	0	0	0
2020-03-29	0	0	0
2020-03-30	0	0	0
2020-03-31	0	0	0
2020-04-01	0	0	0
2020-04-02	0	0	0
2020-04-03	0	0	0
2020-04-04	0	0	0
2020-04-05	0	0	0
2020-04-06	0	0	0
2020-04-07	0	0	0
2020-04-08	0	0	0
2020-04-09	1	0	0
2020-04-10	1	0	0
2020-04-11	1	0	0
2020-04-12	1	0	0
2020-04-13	1	0	0
2020-04-14	1	0	0
2020-04-15	1	0	0
2020-04-16	1	0	0
2020-04-17	1	0	0
2020-04-18	1	0	0
2020-04-19	1	0	0
2020-04-20	1	0	0
2020-04-21	1	0	0
2020-04-22	1	0	0
2020-04-23	1	0	0
2020-04-24	1	0	0
2020-04-25	1	0	0
2020-04-26	1	1	0
2020-04-27	1	1	0
2020-04-28	1	1	0
2020-04-29	1	1	0
2020-04-30	3	1	0
2020-05-01	3	1	0
2020-05-02	3	1	0
2020-05-03	10	1	0
2020-05-04	10	1	0
2020-05-05	12	1	0
2020-05-06	12	1	0
2020-05-07	12	1	0
2020-05-08	12	1	0
2020-05-09	12	1	0
2020-05-10	12	1	0
2020-05-11	12	1	0
2020-05-12	16	1	0
2020-05-13	19	1	0
2020-05-14	19	1	1
2020-05-15	19	1	1
2020-05-16	47	2	1
2020-05-17	59	6	1
2020-05-18	68	6	1
2020-05-19	71	6	1
2020-05-20	76	6	1
2020-05-21	79	6	1
2020-05-22	79	6	1
2020-05-23	79	6	1
2020-05-24	79	6	1
2020-05-25	82	6	1
2020-05-26	85	7	1
2020-05-27	85	9	1
2020-05-28	85	9	1
2020-05-29	90	12	1
2020-05-30	91	12	1
2020-05-31	92	14	1
2020-06-01	97	14	1
2020-06-02	97	14	1
2020-06-03	97	14	1
2020-06-04	97	14	1
2020-06-05	97	14	1
2020-06-06	97	14	1
2020-06-07	97	14	1
2020-06-08	103	30	1
2020-06-09	103	30	1
2020-06-10	105	37	1
2020-06-11	105	37	1
2020-06-12	105	37	1
2020-06-13	105	37	1
2020-06-14	108	40	1
2020-06-15	108	40	1
2020-06-16	108	40	1
2020-06-17	108	40	1
2020-06-18	108	40	1
2020-06-19	108	40	1
2020-06-20	108	40	1
2020-06-21	111	40	1
2020-06-22	111	40	1
2020-06-23	111	40	1
2020-06-24	111	40	1
2020-06-25	111	40	1
2020-06-26	113	40	1
2020-06-27	113	40	1
2020-06-28	113	40	1
2020-06-29	113	40	1
2020-06-30	113	40	1
2020-07-01	113	40	1
2020-07-02	118	54	1
2020-07-03	118	54	1
2020-07-04	118	54	1
2020-07-05	118	54	1
2020-07-06	118	54	1
2020-07-07	118	54	1
2020-07-08	121	91	1
2020-07-09	121	91	1
2020-07-10	121	91	1
2020-07-11	121	91	1
2020-07-12	121	91	1
2020-07-13	121	91	1
2020-07-14	121	91	1
2020-07-15	121	91	1
2020-07-16	121	91	1
2020-07-17	121	91	1
2020-07-18	131	103	1
2020-07-19	134	106	1
2020-07-20	134	106	1
2020-07-21	137	110	1
2020-07-22	137	110	1
2020-07-23	137	110	1
2020-07-24	137	110	1
2020-07-25	137	110	1
2020-07-27	145	110	1
2020-07-28	145	110	1
2020-07-30	145	110	1
2020-07-31	145	110	1
2020-08-02	151	120	1
2020-08-03	151	120	1
2020-08-04	151	120	1
2020-08-05	152	129	1
2020-08-06	152	129	1
2020-08-07	152	130	1
2020-08-09	152	130	1
2020-08-10	152	130	1
2020-08-11	155	131	1
2020-08-12	162	137	1
2020-08-14	162	137	1
2020-08-15	162	137	1
2020-08-16	165	138	1
2020-08-17	165	138	1
2020-08-18	165	138	1
2020-08-19	165	138	1
2020-08-20	165	138	1
2020-08-21	165	138	1
2020-08-22	170	148	2
2020-08-23	171	149	2
2020-08-24	171	149	2
2020-08-25	172	149	2
2020-08-26	173	149	2
2020-08-29	176	156	2
2020-08-30	177	156	2
2020-08-31	177	156	2
2020-09-01	179	156	2
2020-09-02	191	159	2
2020-09-03	200	163	2
2020-09-04	202	163	2
2020-09-05	204	169	2
2020-09-06	204	169	2
2020-09-07	206	170	3
2020-09-08	209	170	3
2020-09-10	213	170	4
2020-09-11	213	170	4
2020-09-12	217	170	5
2020-09-13	237	172	5
