date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	0	0	0
2020-03-29	1	0	0
2020-03-30	1	0	0
2020-03-31	1	0	0
2020-04-01	1	0	0
2020-04-02	1	0	0
2020-04-03	1	0	0
2020-04-04	1	0	0
2020-04-05	2	0	0
2020-04-06	2	0	0
2020-04-07	2	0	0
2020-04-08	2	0	0
2020-04-09	2	0	0
2020-04-10	3	0	0
2020-04-11	5	0	1
2020-04-12	5	2	1
2020-04-13	5	1	1
2020-04-14	5	1	1
2020-04-15	7	1	1
2020-04-16	7	1	1
2020-04-17	7	1	1
2020-04-18	7	1	1
2020-04-19	7	1	1
2020-04-20	7	1	1
2020-04-21	7	1	1
2020-04-22	8	1	1
2020-04-23	8	1	1
2020-04-24	33	1	1
2020-04-25	35	1	1
2020-04-26	35	1	1
2020-04-27	35	1	1
2020-04-28	37	2	1
2020-04-29	38	3	1
2020-04-30	42	3	1
2020-05-01	43	3	1
2020-05-02	44	4	1
2020-05-03	44	4	1
2020-05-04	44	4	1
2020-05-05	58	4	2
2020-05-06	58	4	2
2020-05-07	58	5	2
2020-05-08	60	5	2
2020-05-09	62	5	2
2020-05-10	62	5	2
2020-05-11	62	5	2
2020-05-12	68	7	2
2020-05-13	73	7	2
2020-05-14	74	20	2
2020-05-15	74	22	2
2020-05-16	75	23	2
2020-05-17	75	23	2
2020-05-18	75	23	2
2020-05-19	77	25	2
2020-05-20	78	25	2
2020-05-21	86	25	2
2020-05-22	86	26	2
2020-05-23	86	27	2
2020-05-24	86	27	2
2020-05-25	86	27	2
2020-05-26	87	29	2
2020-05-27	88	32	2
2020-05-28	88	34	2
2020-05-29	88	34	2
2020-05-30	88	34	2
2020-05-31	92	41	2
2020-06-01	92	41	2
2020-06-02	92	49	2
2020-06-03	92	49	2
2020-06-04	92	49	2
2020-06-05	92	50	2
2020-06-06	92	58	2
2020-06-07	94	61	2
2020-06-08	94	62	2
2020-06-09	94	63	2
2020-06-10	95	63	2
2020-06-11	96	66	2
2020-06-12	97	66	2
2020-06-13	97	70	2
2020-06-14	98	71	2
2020-06-15	98	71	2
2020-06-16	98	71	2
2020-06-17	99	76	2
2020-06-18	104	76	2
2020-06-19	104	77	2
2020-06-20	104	77	2
2020-06-21	104	77	2
2020-06-22	104	77	2
2020-06-23	104	78	2
2020-06-24	105	78	2
