date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	1	0	0
2020-03-24	1	0	0
2020-03-25	1	0	0
2020-03-26	1	0	0
2020-03-27	1	0	0
2020-03-28	1	0	0
2020-03-29	1	0	0
2020-03-30	2	0	0
2020-03-31	2	0	0
2020-04-01	2	0	0
2020-04-02	2	0	0
2020-04-03	2	0	0
2020-04-04	2	0	0
2020-04-05	2	0	0
2020-04-06	2	0	0
2020-04-07	2	0	0
2020-04-08	2	0	0
2020-04-09	2	0	0
2020-04-10	2	0	0
2020-04-11	4	0	0
2020-04-12	4	0	0
2020-04-13	4	0	0
2020-04-14	5	0	0
2020-04-15	6	0	0
2020-04-16	7	0	0
2020-04-17	8	0	0
2020-04-18	8	0	0
2020-04-19	8	0	0
2020-04-20	8	1	0
2020-04-21	13	1	0
2020-04-22	13	1	0
2020-04-23	14	1	0
2020-04-24	18	1	0
2020-04-25	21	1	0
2020-04-26	32	1	0
2020-04-27	32	1	0
2020-04-28	32	1	0
2020-04-29	32	1	0
2020-04-30	32	1	0
2020-05-01	32	1	0
2020-05-02	32	1	0
2020-05-03	38	1	0
2020-05-04	38	1	0
2020-05-05	43	1	0
2020-05-06	47	1	0
2020-05-07	47	1	0
2020-05-08	47	1	0
2020-05-09	62	1	0
2020-05-10	64	3	0
2020-05-11	65	3	0
2020-05-12	65	3	0
2020-05-13	65	3	0
2020-05-14	66	3	0
2020-05-15	69	3	0
2020-05-16	79	3	0
2020-05-17	80	4	0
2020-05-18	81	4	0
2020-05-19	84	4	0
2020-05-20	89	4	0
2020-05-21	89	4	0
2020-05-22	91	8	0
2020-05-23	91	8	0
2020-05-24	95	13	0
2020-05-25	97	15	0
2020-05-26	97	15	0
2020-05-27	97	15	0
2020-05-28	97	15	0
2020-05-29	97	15	0
2020-05-30	97	15	0
2020-05-31	97	15	0
2020-06-01	97	15	0
2020-06-02	97	15	0
2020-06-03	97	17	0
2020-06-04	99	27	0
2020-06-05	101	27	0
2020-06-06	103	27	0
2020-06-07	103	27	0
2020-06-08	103	27	0
2020-06-09	103	27	0
2020-06-10	105	27	0
2020-06-11	105	27	0
2020-06-12	106	27	0
2020-06-13	108	37	0
2020-06-14	108	37	0
2020-06-15	108	37	0
2020-06-16	108	45	0
2020-06-17	109	45	0
2020-06-18	109	45	0
2020-06-19	112	46	0
2020-06-20	112	46	0
2020-06-21	112	46	0
2020-06-22	112	46	0
2020-06-23	114	66	0
2020-06-24	114	66	0
2020-06-25	114	66	0
2020-06-26	114	66	0
2020-06-27	117	69	0
2020-06-28	117	69	0
2020-06-29	117	69	0
2020-06-30	117	69	0
2020-07-01	117	77	0
2020-07-02	117	77	0
2020-07-03	117	77	0
2020-07-04	117	77	0
2020-07-05	120	81	0
2020-07-06	120	81	1
2020-07-07	121	81	1
2020-07-08	121	81	1
2020-07-09	122	81	1
2020-07-10	122	84	1
2020-07-11	122	84	1
2020-07-12	122	93	1
2020-07-13	122	93	1
2020-07-14	124	93	2
2020-07-15	125	95	2
2020-07-16	125	95	2
2020-07-17	126	98	2
2020-07-18	132	101	2
2020-07-19	132	104	2
2020-07-20	132	104	2
2020-07-21	134	104	2
2020-07-22	136	108	2
2020-07-23	136	110	2
2020-07-24	138	111	2
2020-07-25	139	112	2
2020-07-27	139	112	2
2020-07-28	139	112	2
2020-07-30	156	115	4
2020-07-31	162	115	4
2020-08-02	169	115	4
2020-08-03	169	115	4
2020-08-04	188	116	4
2020-08-05	193	116	4
2020-08-06	193	116	4
2020-08-07	205	117	4
2020-08-09	210	117	4
2020-08-10	210	118	4
2020-08-11	210	118	4
2020-08-12	215	119	4
2020-08-14	222	120	4
2020-08-15	222	120	4
2020-08-16	225	121	4
2020-08-17	245	122	4
2020-08-18	245	122	4
2020-08-19	250	126	4
2020-08-20	250	126	4
2020-08-21	271	130	5
2020-08-22	274	131	5
2020-08-23	274	131	5
2020-08-24	274	131	5
2020-08-25	281	133	5
2020-08-26	289	137	5
2020-08-29	302	149	5
2020-08-30	302	149	5
2020-08-31	302	156	5
2020-09-01	302	156	5
2020-09-02	303	156	5
2020-09-03	303	157	5
2020-09-04	304	170	5
2020-09-05	304	181	5
2020-09-06	304	181	5
2020-09-07	304	181	5
2020-09-08	304	181	5
2020-09-10	308	187	5
2020-09-11	308	187	5
2020-09-12	319	229	7
2020-09-13	321	233	7
