date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	3	0	0
2020-03-27	5	0	0
2020-03-28	5	0	0
2020-03-29	5	0	0
2020-03-30	8	0	0
2020-03-31	8	0	0
2020-04-01	8	0	0
2020-04-02	8	0	0
2020-04-03	8	0	0
2020-04-04	8	0	0
2020-04-05	8	0	0
2020-04-06	18	0	0
2020-04-07	18	0	0
2020-04-08	18	0	0
2020-04-09	18	0	0
2020-04-10	31	6	3
2020-04-11	31	7	3
2020-04-12	44	6	3
2020-04-13	45	7	3
2020-04-14	48	7	5
2020-04-15	55	8	4
2020-04-16	55	8	4
2020-04-17	62	11	6
2020-04-18	71	13	7
2020-04-19	72	13	7
2020-04-20	74	13	7
2020-04-21	76	13	7
2020-04-22	81	13	8
2020-04-23	86	16	9
2020-04-24	96	17	10
2020-04-25	97	20	11
2020-04-26	102	20	11
2020-04-27	121	23	14
2020-04-28	144	24	14
2020-04-29	145	24	15
2020-04-30	148	25	15
2020-05-01	172	30	15
2020-05-02	182	30	15
2020-05-03	195	35	15
2020-05-04	203	37	15
2020-05-05	221	38	16
2020-05-06	238	38	16
2020-05-07	252	41	16
2020-05-08	270	46	17
2020-05-09	286	54	17
2020-05-10	299	56	17
2020-05-11	299	67	17
2020-05-12	319	70	18
2020-05-13	339	83	19
2020-05-14	371	86	21
2020-05-15	393	88	21
2020-05-16	396	91	22
2020-05-17	408	95	22
2020-05-18	409	107	22
2020-05-19	420	117	22
2020-05-20	428	145	23
2020-05-21	436	152	23
2020-05-22	438	157	23
2020-05-23	443	175	24
2020-05-24	478	180	24
2020-05-25	478	186	24
2020-05-26	513	208	24
2020-05-27	537	236	25
2020-05-28	541	242	25
2020-05-29	541	250	25
2020-05-30	552	256	25
2020-05-31	567	265	25
2020-06-01	567	267	25
2020-06-02	574	272	25
2020-06-03	583	277	25
2020-06-04	594	312	25
2020-06-05	607	333	27
2020-06-06	618	336	27
2020-06-07	626	340	27
2020-06-08	626	351	27
2020-06-09	645	361	29
2020-06-10	659	389	29
2020-06-11	661	392	29
2020-06-12	671	407	29
2020-06-13	674	411	29
2020-06-14	681	423	30
2020-06-15	681	423	30
2020-06-16	687	459	30
2020-06-17	691	465	30
2020-06-18	696	482	30
2020-06-19	700	493	30
2020-06-20	703	497	30
2020-06-21	707	503	30
2020-06-22	707	505	30
2020-06-23	712	525	30
2020-06-24	715	519	30
2020-06-25	717	561	30
2020-06-26	720	571	31
2020-06-27	722	581	31
2020-06-28	725	587	31
2020-06-29	725	588	31
2020-06-30	726	600	31
2020-07-01	742	607	31
2020-07-02	750	618	31
2020-07-03	760	622	31
2020-07-04	762	624	31
2020-07-05	775	625	31
2020-07-06	775	627	31
2020-07-07	780	637	31
2020-07-08	780	647	31
2020-07-09	785	655	32
2020-07-10	791	661	32
2020-07-11	794	666	32
2020-07-12	800	671	32
2020-07-13	800	671	32
2020-07-14	803	682	32
2020-07-15	805	687	32
2020-07-16	806	690	32
2020-07-17	813	692	32
2020-07-18	817	696	32
2020-07-19	828	700	33
2020-07-20	828	700	33
2020-07-21	836	707	33
2020-07-22	846	708	33
2020-07-23	849	711	33
2020-07-24	852	717	33
2020-07-25	864	730	33
2020-07-27	869	736	33
2020-07-28	869	736	33
2020-07-30	907	758	33
2020-07-31	948	760	34
2020-08-02	957	768	34
2020-08-03	974	770	34
2020-08-04	987	773	34
2020-08-05	1006	776	34
2020-08-06	1038	787	34
2020-08-07	1079	797	34
2020-08-09	1102	802	34
2020-08-10	1176	814	34
2020-08-11	1189	823	34
2020-08-12	1216	834	36
2020-08-14	1300	869	38
2020-08-15	1300	869	38
2020-08-16	1350	896	40
2020-08-17	1376	914	41
2020-08-18	1413	918	43
2020-08-19	1439	938	45
2020-08-20	1483	957	45
2020-08-21	1528	999	45
2020-08-22	1565	1006	48
2020-08-23	1633	1043	49
2020-08-24	1659	1055	49
2020-08-25	1736	1075	50
2020-08-26	1823	1083	51
2020-08-29	1978	1157	55
2020-08-30	2068	1196	56
2020-08-31	2157	1223	56
2020-09-01	2240	1242	56
2020-09-02	2328	1308	56
2020-09-03	2372	1329	56
2020-09-04	2437	1399	59
2020-09-05	2507	1429	59
2020-09-06	2507	1429	59
2020-09-07	2795	1509	61
2020-09-08	2910	1560	61
2020-09-10	3020	1625	63
2020-09-11	3020	1625	63
2020-09-12	3264	1740	67
2020-09-13	3387	1763	70
