date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	0	0	0
2020-03-29	0	0	0
2020-03-30	1	0	0
2020-03-31	2	0	0
2020-04-01	2	0	1
2020-04-02	2	0	1
2020-04-03	2	0	1
2020-04-04	2	0	1
2020-04-05	2	0	1
2020-04-06	2	0	1
2020-04-07	2	0	1
2020-04-08	2	0	1
2020-04-09	3	0	1
2020-04-10	3	0	1
2020-04-11	4	0	1
2020-04-12	4	0	1
2020-04-13	4	0	1
2020-04-14	4	0	1
2020-04-15	5	0	1
2020-04-16	6	0	1
2020-04-17	6	0	1
2020-04-18	6	0	1
2020-04-19	7	0	1
2020-04-20	7	1	1
2020-04-21	8	2	1
2020-04-22	8	2	1
2020-04-23	8	2	1
2020-04-24	9	2	1
2020-04-25	9	2	1
2020-04-26	10	2	1
2020-04-27	10	2	1
2020-04-28	10	2	1
2020-04-29	10	2	1
2020-04-30	10	2	1
2020-05-01	19	4	1
2020-05-02	19	4	1
2020-05-03	20	4	1
2020-05-04	20	4	1
2020-05-05	28	4	1
2020-05-06	28	4	1
2020-05-07	28	4	1
2020-05-08	28	6	1
2020-05-09	28	6	1
2020-05-10	29	6	1
2020-05-11	29	6	1
2020-05-12	29	7	1
2020-05-13	29	7	1
2020-05-14	29	7	1
2020-05-15	29	7	1
2020-05-16	29	7	1
2020-05-17	29	23	1
2020-05-18	29	24	1
2020-05-19	29	24	1
2020-05-20	35	24	1
2020-05-21	36	24	1
2020-05-22	36	26	1
2020-05-23	39	26	1
2020-05-24	39	27	1
2020-05-25	39	27	1
2020-05-26	39	27	1
2020-05-27	42	27	1
2020-05-28	42	27	1
2020-05-29	42	27	1
2020-05-30	45	27	1
2020-05-31	46	27	1
2020-06-01	46	28	1
2020-06-02	50	28	1
2020-06-03	62	28	1
2020-06-04	72	29	1
2020-06-05	81	34	1
2020-06-06	98	34	1
2020-06-07	102	35	1
2020-06-08	102	36	1
2020-06-09	121	41	1
2020-06-10	123	42	1
2020-06-11	126	43	1
2020-06-12	132	48	1
2020-06-13	136	54	1
2020-06-14	144	63	1
2020-06-15	144	63	2
2020-06-16	145	63	3
2020-06-17	147	68	3
2020-06-18	147	95	2
2020-06-19	147	101	2
2020-06-20	148	107	2
2020-06-21	148	107	2
2020-06-22	148	107	2
2020-06-23	148	117	2
2020-06-24	148	126	2
2020-06-25	148	127	2
2020-06-26	148	130	2
2020-06-27	149	131	2
2020-06-28	149	131	2
2020-06-29	152	132	2
2020-06-30	152	133	2
2020-07-01	155	134	2
2020-07-02	155	136	2
2020-07-03	157	136	2
2020-07-04	161	136	2
2020-07-05	163	136	2
2020-07-06	169	136	2
2020-07-07	171	136	2
2020-07-08	171	139	2
2020-07-09	171	140	2
2020-07-10	171	141	2
2020-07-11	172	142	2
2020-07-12	172	142	2
2020-07-13	172	142	2
2020-07-14	174	145	2
2020-07-15	175	149	2
2020-07-16	175	166	2
2020-07-17	175	166	2
2020-07-18	172	142	2
2020-07-19	172	142	2
2020-07-20	172	142	2
2020-07-21	172	142	2
2020-07-22	172	142	2
2020-07-23	172	142	2
2020-07-24	172	142	2
2020-07-25	172	142	2
2020-07-27	172	142	2
2020-07-28	172	142	2
2020-07-30	191	173	2
2020-07-31	191	173	2
2020-08-02	191	173	2
2020-08-03	191	173	2
2020-08-04	191	173	2
2020-08-05	191	173	2
2020-08-06	191	173	2
2020-08-07	191	173	2
2020-08-09	191	173	2
2020-08-10	191	173	2
2020-08-11	191	173	2
2020-08-12	191	173	2
2020-08-14	191	173	2
2020-08-15	191	173	2
2020-08-16	191	173	2
2020-08-17	191	173	2
2020-08-18	191	173	2
2020-08-19	191	173	2
2020-08-20	191	173	2
2020-08-21	191	173	2
2020-08-22	191	173	2
2020-08-23	191	173	2
2020-08-24	191	173	2
2020-08-25	191	173	2
2020-08-26	191	173	2
2020-08-29	191	173	2
2020-08-30	191	173	2
2020-08-31	191	173	2
2020-09-01	191	173	2
2020-09-02	191	173	2
2020-09-03	191	173	2
2020-09-04	191	173	2
2020-09-05	191	173	2
2020-09-06	191	173	2
2020-09-07	191	173	2
2020-09-08	191	173	2
2020-09-10	191	173	2
2020-09-11	191	173	2
2020-09-12	191	173	2
2020-09-13	191	173	2
