date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	2	0	0
2020-03-10	2	0	0
2020-03-11	3	0	0
2020-03-12	3	0	0
2020-03-13	5	0	0
2020-03-14	8	0	0
2020-03-15	8	0	0
2020-03-16	9	0	0
2020-03-17	12	0	0
2020-03-18	24	0	1
2020-03-19	26	0	1
2020-03-20	41	0	7
2020-03-21	55	1	7
2020-03-22	59	5	9
2020-03-23	59	5	9
2020-03-24	60	5	10
2020-03-25	73	5	10
2020-03-26	78	5	11
2020-03-27	98	5	14
2020-03-28	119	6	17
2020-03-29	149	6	19
2020-03-30	180	8	20
2020-03-31	198	11	21
2020-04-01	220	11	21
2020-04-02	223	11	25
2020-04-03	225	12	25
2020-04-04	247	12	28
2020-04-05	252	12	28
2020-04-06	263	13	29
2020-04-07	343	17	29
2020-04-08	365	17	35
2020-04-09	376	19	40
2020-04-10	388	19	40
2020-04-11	421	19	40
2020-04-12	450	19	43
2020-04-13	540	22	52
2020-04-14	530	23	52
2020-04-15	559	23	52
2020-04-16	570	28	53
2020-04-17	632	41	56
2020-04-18	641	41	56
2020-04-19	696	45	59
2020-04-20	747	56	62
2020-04-21	756	75	68
2020-04-22	762	79	71
2020-04-23	784	87	74
2020-04-24	862	90	77
2020-04-25	907	93	77
2020-04-26	912	93	77
2020-04-27	951	96	78
2020-04-28	969	103	79
2020-04-29	1009	107	79
2020-04-30	1012	143	83
2020-05-01	1012	145	83
2020-05-02	1043	147	84
2020-05-03	1054	152	85
2020-05-04	1252	159	86
2020-05-05	1300	167	87
2020-05-06	1320	177	90
2020-05-07	1381	182	90
2020-05-08	1404	184	92
2020-05-09	1437	202	95
2020-05-10	1437	202	95
2020-05-11	1493	213	95
2020-05-12	1545	213	98
2020-05-13	1556	237	98
2020-05-14	1565	242	99
2020-05-15	1596	259	100
2020-05-16	1618	262	100
2020-05-17	1652	320	110
2020-05-18	1677	397	123
2020-05-19	1700	411	124
2020-05-20	1876	412	124
2020-05-21	1962	422	124
2020-05-22	2002	432	125
2020-05-23	2045	471	127
2020-05-24	2091	479	128
2020-05-25	2113	479	128
2020-05-26	2130	505	137
2020-05-27	2157	542	142
2020-05-28	2181	586	142
2020-05-29	2211	592	142
2020-05-30	2231	616	144
2020-05-31	2260	619	144
