date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	1	0	1
2020-03-19	2	0	1
2020-03-20	2	0	1
2020-03-21	2	0	1
2020-03-22	2	0	1
2020-03-23	2	0	1
2020-03-24	7	0	1
2020-03-25	7	0	1
2020-03-26	8	0	1
2020-03-27	8	0	1
2020-03-28	8	0	1
2020-03-29	8	0	1
2020-03-30	13	0	1
2020-03-31	19	0	1
2020-04-01	22	0	3
2020-04-02	22	0	3
2020-04-03	22	0	3
2020-04-04	25	0	3
2020-04-05	25	0	4
2020-04-06	26	0	4
2020-04-07	26	0	4
2020-04-08	59	0	4
2020-04-09	59	0	4
2020-04-10	59	8	4
2020-04-11	59	8	8
2020-04-12	65	8	8
2020-04-13	67	9	9
2020-04-14	72	10	9
2020-04-15	78	10	9
2020-04-16	79	12	9
2020-04-17	79	12	9
2020-04-18	79	12	9
2020-04-19	81	12	9
2020-04-20	83	13	9
2020-04-21	84	13	9
2020-04-22	93	21	10
2020-04-23	95	21	11
2020-04-24	96	21	11
2020-04-25	105	21	12
2020-04-26	111	21	12
2020-04-27	111	21	12
2020-04-28	111	35	12
2020-04-29	114	40	12
2020-04-30	117	41	13
2020-05-01	117	41	13
2020-05-02	117	41	13
2020-05-03	123	41	13
2020-05-04	129	41	13
2020-05-05	130	41	13
2020-05-06	141	43	16
2020-05-07	142	48	16
2020-05-08	157	48	16
2020-05-09	179	48	21
2020-05-10	179	48	21
2020-05-11	196	48	24
2020-05-12	198	48	24
2020-05-13	200	53	24
2020-05-14	202	53	24
2020-05-15	202	53	24
2020-05-16	202	53	24
2020-05-17	218	58	26
2020-05-18	225	58	27
2020-05-19	235	58	28
2020-05-20	250	74	30
2020-05-21	273	74	31
2020-05-22	285	102	32
2020-05-23	294	102	32
2020-05-24	311	108	33
2020-05-25	315	113	33
2020-05-26	315	114	33
2020-05-27	332	116	34
2020-05-28	362	118	36
2020-05-29	400	118	36
2020-05-30	406	123	41
2020-05-31	409	146	41
2020-06-01	417	148	41
2020-06-02	418	151	41
2020-06-03	444	160	42
2020-06-04	488	167	43
2020-06-05	537	172	46
2020-06-06	605	179	46
2020-06-07	605	179	46
2020-06-08	607	189	48
2020-06-09	618	189	52
2020-06-10	635	193	53
2020-06-11	680	205	56
2020-06-12	768	205	57
2020-06-13	862	205	59
2020-06-14	872	210	59
2020-06-15	932	216	64
2020-06-16	957	222	66
2020-06-17	970	227	67
2020-06-18	993	234	67
2020-06-19	1024	250	66
2020-06-20	1082	255	68
2020-06-21	1095	259	70
2020-06-22	1115	263	73
2020-06-23	1232	266	76
2020-06-24	1287	274	79
