date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	0	0	0
2020-03-29	0	0	0
2020-03-30	0	0	0
2020-03-31	1	0	1
2020-04-01	1	0	1
2020-04-02	1	0	1
2020-04-03	2	0	1
2020-04-04	2	0	1
2020-04-05	2	0	1
2020-04-06	2	0	1
2020-04-07	2	0	1
2020-04-08	2	0	1
2020-04-09	4	0	1
2020-04-10	4	0	1
2020-04-11	4	0	1
2020-04-12	4	0	1
2020-04-13	4	0	1
2020-04-14	4	0	1
2020-04-15	4	0	1
2020-04-16	4	0	1
2020-04-17	4	0	1
2020-04-18	4	0	1
2020-04-19	4	0	1
2020-04-20	4	0	1
2020-04-21	8	1	1
2020-04-22	8	1	1
2020-04-23	8	1	1
2020-04-24	8	1	1
2020-04-25	8	1	1
2020-04-26	8	1	1
2020-04-27	8	1	1
2020-04-28	8	1	1
2020-04-29	12	1	1
2020-04-30	12	1	1
2020-05-01	12	1	1
2020-05-02	12	1	1
2020-05-03	12	1	1
2020-05-04	12	1	1
2020-05-05	12	1	1
2020-05-06	14	1	1
2020-05-07	14	1	1
2020-05-08	14	1	1
2020-05-09	37	1	1
2020-05-10	37	1	1
2020-05-11	37	1	1
2020-05-12	40	1	1
2020-05-13	40	1	1
2020-05-14	42	1	2
2020-05-15	53	1	2
2020-05-16	56	1	2
2020-05-17	65	1	2
2020-05-18	66	1	2
2020-05-19	67	1	2
2020-05-20	67	1	2
2020-05-21	69	3	2
2020-05-22	69	9	2
2020-05-23	69	9	2
2020-05-24	69	9	2
2020-05-25	69	9	2
2020-05-26	69	9	2
2020-05-27	69	14	2
2020-05-28	71	14	2
2020-05-29	72	20	2
