date	cases	recoveries	deaths
2020-03-02	0	0	0
2020-03-03	0	0	0
2020-03-04	0	0	0
2020-03-05	0	0	0
2020-03-06	0	0	0
2020-03-07	0	0	0
2020-03-08	0	0	0
2020-03-09	0	0	0
2020-03-10	0	0	0
2020-03-11	0	0	0
2020-03-12	0	0	0
2020-03-13	0	0	0
2020-03-14	0	0	0
2020-03-15	0	0	0
2020-03-16	0	0	0
2020-03-17	0	0	0
2020-03-18	0	0	0
2020-03-19	0	0	0
2020-03-20	0	0	0
2020-03-21	0	0	0
2020-03-22	0	0	0
2020-03-23	0	0	0
2020-03-24	0	0	0
2020-03-25	0	0	0
2020-03-26	0	0	0
2020-03-27	0	0	0
2020-03-28	0	0	0
2020-03-29	0	0	0
2020-03-30	0	0	0
2020-03-31	0	0	0
2020-04-01	0	0	0
2020-04-02	0	0	0
2020-04-03	0	0	0
2020-04-04	0	0	0
2020-04-05	0	0	0
2020-04-06	0	0	0
2020-04-07	0	0	0
2020-04-08	0	0	0
2020-04-09	0	0	0
2020-04-10	1	0	0
2020-04-11	1	0	0
2020-04-12	1	0	0
2020-04-13	1	0	0
2020-04-14	1	0	0
2020-04-15	1	0	0
2020-04-16	4	0	0
2020-04-17	4	0	0
2020-04-18	4	0	0
2020-04-19	4	0	0
2020-04-20	4	0	0
2020-04-21	7	0	1
2020-04-22	7	0	1
2020-04-23	7	0	1
2020-04-24	12	0	1
2020-04-25	14	0	1
2020-04-26	15	0	1
2020-04-27	14	0	1
2020-04-28	15	0	1
2020-04-29	15	2	1
2020-04-30	15	2	1
2020-05-01	15	2	1
2020-05-02	15	2	1
2020-05-03	15	2	1
2020-05-04	15	2	1
2020-05-05	15	2	1
2020-05-06	15	2	1
2020-05-07	19	4	1
2020-05-08	19	8	1
2020-05-09	19	8	1
2020-05-10	19	11	1
2020-05-11	19	12	1
2020-05-12	19	12	1
2020-05-13	19	12	1
2020-05-14	21	13	1
2020-05-15	22	14	1
2020-05-16	23	15	1
2020-05-17	24	15	2
2020-05-18	28	15	2
2020-05-19	28	15	2
2020-05-20	28	15	2
2020-05-21	44	15	2
2020-05-22	47	15	2
2020-05-23	49	17	2
2020-05-24	58	18	2
2020-05-25	58	18	2
2020-05-26	58	18	2
2020-05-27	60	18	2
2020-05-28	65	19	2
2020-05-29	68	23	3
2020-05-30	69	23	3
2020-05-31	94	26	3
2020-06-01	94	26	3
2020-06-02	108	29	6
2020-06-03	118	29	6
2020-06-04	121	29	6
2020-06-05	121	32	6
2020-06-06	126	44	6
2020-06-07	134	54	6
2020-06-08	134	54	6
2020-06-09	139	62	7
2020-06-10	145	69	7
2020-06-11	149	69	7
2020-06-12	181	79	7
2020-06-13	185	80	8
2020-06-14	185	80	8
2020-06-15	208	87	8
2020-06-16	214	90	8
2020-06-17	214	90	8
2020-06-18	214	90	8
2020-06-19	220	125	8
2020-06-20	220	125	8
2020-06-21	227	138	8
2020-06-22	230	142	8
2020-06-23	231	142	8
2020-06-24	238	173	8
2020-06-25	243	195	8
2020-06-26	243	195	8
2020-06-27	243	195	8
2020-06-28	243	195	8
2020-06-29	243	195	8
2020-06-30	249	210	10
2020-07-01	249	213	10
2020-07-02	256	222	11
2020-07-03	261	226	11
2020-07-04	269	227	11
2020-07-05	269	227	11
2020-07-06	271	227	13
2020-07-07	276	227	15
2020-07-08	286	227	16
2020-07-09	286	227	16
2020-07-10	316	228	17
2020-07-11	345	230	17
2020-07-12	359	230	17
2020-07-13	363	236	17
2020-07-14	385	238	17
2020-07-15	392	257	20
2020-07-16	416	277	21
2020-07-17	425	301	23
2020-07-18	426	304	25
2020-07-19	537	311	27
2020-07-20	537	311	27
2020-07-21	616	311	29
2020-07-22	616	311	30
2020-07-23	620	322	30
2020-07-24	694	333	30
2020-07-25	796	347	30
2020-07-27	820	382	31
2020-07-28	851	397	33
2020-07-30	1015	468	34
2020-07-31	1015	544	34
2020-08-02	1284	638	35
2020-08-03	1322	700	35
2020-08-04	1387	763	37
2020-08-05	1427	794	38
2020-08-06	1431	915	38
2020-08-07	1469	1017	38
2020-08-09	1549	1115	38
2020-08-10	1614	1134	41
2020-08-11	1617	1190	41
2020-08-12	1664	1222	42
2020-08-14	1675	1271	44
2020-08-15	1675	1271	44
2020-08-16	1721	1305	45
2020-08-17	1788	1309	47
2020-08-18	1821	1362	47
2020-08-19	1875	1401	47
2020-08-20	1875	1448	47
2020-08-21	1887	1476	49
2020-08-22	1887	1508	49
2020-08-23	1959	1515	50
2020-08-24	1959	1565	51
2020-08-25	1970	1565	51
2020-08-26	1970	1592	51
2020-08-29	2041	1768	54
2020-08-30	2041	1773	54
2020-08-31	2041	1789	54
2020-09-01	2075	1816	54
2020-09-02	2090	1833	54
2020-09-03	2151	1849	55
2020-09-04	2160	1855	55
2020-09-05	2182	1875	60
2020-09-06	2182	1875	60
2020-09-07	2201	1905	60
2020-09-08	2225	1916	61
2020-09-10	2241	1923	61
2020-09-11	2241	1923	61
2020-09-12	2282	1967	63
2020-09-13	2314	1971	65
